anio,mes,cuenca,precio_gnc,precio_usina,precio_industria,precio_exportacion
2019,1,Austral Santa Cruz,3.44,2.65,3.13,3.08
2019,1,Austral Tierra del Fuego,3.33,2.81,3.36,3.49
2019,1,Golfo de San Jorge,3.43,2.87,3.85,5.22
2019,1,Neuquina,3.64,2.98,3.61,4.25
2019,1,Noroeste,3.95,3.29,4.81,0.0
2019,1,Total Cuenca,3.58,2.92,3.63,3.92
2019,2,Austral Santa Cruz,3.29,2.45,3.29,3.0
2019,2,Austral Tierra del Fuego,3.19,2.66,3.48,3.22
2019,2,Golfo de San Jorge,3.21,2.62,3.87,5.22
2019,2,Neuquina,3.39,2.62,3.55,4.73
2019,2,Noroeste,3.77,3.14,4.82,0.0
2019,2,Total Cuenca,3.36,2.63,3.62,4.44
2019,3,Austral Santa Cruz,3.05,2.34,3.19,3.27
2019,3,Austral Tierra del Fuego,2.93,2.54,3.2,2.72
2019,3,Golfo de San Jorge,3.12,2.23,3.89,5.22
2019,3,Neuquina,3.27,2.68,3.6,4.65
2019,3,Noroeste,3.64,3.1,4.73,0.0
2019,3,Total Cuenca,3.21,2.61,3.6,4.07
2019,4,Austral Santa Cruz,2.96,2.27,2.96,3.46
2019,4,Austral Tierra del Fuego,3.01,2.79,3.05,3.34
2019,4,Golfo de San Jorge,3.29,2.4,3.86,5.22
2019,4,Neuquina,3.47,2.75,3.54,4.59
2019,4,Noroeste,3.5,3.33,4.71,0.0
2019,4,Total Cuenca,3.36,2.72,3.51,4.19
2019,5,Austral Santa Cruz,3.55,2.33,3.03,3.97
2019,5,Austral Tierra del Fuego,3.61,2.45,3.11,3.21
2019,5,Golfo de San Jorge,3.62,2.7,4.23,0.0
2019,5,Neuquina,4.08,2.31,3.9,4.33
2019,5,Noroeste,3.75,3.7,4.82,0.0
2019,5,Total Cuenca,3.95,2.38,3.8,3.98
2019,6,Austral Santa Cruz,3.73,2.53,3.23,4.52
2019,6,Austral Tierra del Fuego,3.3,2.65,3.22,3.21
2019,6,Golfo de San Jorge,3.36,3.45,3.99,0.0
2019,6,Neuquina,3.93,2.89,3.99,4.48
2019,6,Noroeste,3.83,3.76,4.86,0.0
2019,6,Total Cuenca,3.78,2.79,3.9,4.24
2019,7,Austral Santa Cruz,3.56,2.33,3.25,5.02
2019,7,Austral Tierra del Fuego,2.7,2.63,3.13,3.21
2019,7,Golfo de San Jorge,3.11,3.74,4.01,0.0
2019,7,Neuquina,3.14,3.1,3.93,4.55
2019,7,Noroeste,3.06,3.92,4.84,0.0
2019,7,Total Cuenca,3.05,2.89,3.85,4.63
2019,8,Austral Santa Cruz,2.8,2.74,3.23,4.93
2019,8,Austral Tierra del Fuego,2.83,2.48,3.21,0.0
2019,8,Golfo de San Jorge,3.02,3.05,4.02,0.0
2019,8,Neuquina,3.16,2.86,3.89,4.39
2019,8,Noroeste,3.08,4.42,4.77,0.0
2019,8,Total Cuenca,3.08,2.78,3.83,4.47
2019,9,Austral Santa Cruz,2.87,2.05,2.9,3.91
2019,9,Austral Tierra del Fuego,2.76,2.08,2.87,0.0
2019,9,Golfo de San Jorge,3.04,2.31,3.52,0.0
2019,9,Neuquina,3.09,2.09,3.46,4.49
2019,9,Noroeste,3.0,3.27,4.67,0.0
2019,9,Total Cuenca,3.03,2.11,3.45,4.47
2019,10,Austral Santa Cruz,2.89,2.02,2.16,3.18
2019,10,Austral Tierra del Fuego,2.66,2.04,2.08,3.21
2019,10,Golfo de San Jorge,3.13,2.22,2.52,5.41
2019,10,Neuquina,2.96,1.89,2.65,3.53
2019,10,Noroeste,2.98,3.45,4.24,0.0
2019,10,Total Cuenca,2.93,1.98,2.66,3.48
2019,11,Austral Santa Cruz,2.8,1.94,2.07,3.08
2019,11,Austral Tierra del Fuego,2.57,2.0,2.25,3.21
2019,11,Golfo de San Jorge,2.99,2.06,2.88,0.0
2019,11,Neuquina,2.88,1.83,2.67,3.59
2019,11,Noroeste,2.99,3.52,4.26,0.0
2019,11,Total Cuenca,2.84,1.93,2.67,3.42
2019,12,Austral Santa Cruz,2.76,1.84,2.16,2.97
2019,12,Austral Tierra del Fuego,2.4,1.97,2.24,3.21
2019,12,Golfo de San Jorge,3.04,2.11,2.9,3.14
2019,12,Neuquina,2.98,1.71,2.68,3.15
2019,12,Noroeste,2.86,3.48,4.18,0.0
2019,12,Total Cuenca,2.82,1.82,2.69,3.12
2020,1,Austral Santa Cruz,2.73,1.7,1.9,2.77
2020,1,Austral Tierra del Fuego,2.57,1.98,2.06,3.21
2020,1,Golfo de San Jorge,2.67,2.33,2.73,3.14
2020,1,Neuquina,2.81,1.69,2.6,3.31
2020,1,Noroeste,2.78,2.07,4.17,0.0
2020,1,Total Cuenca,2.75,1.8,2.54,3.17
2020,2,Austral Santa Cruz,2.57,1.55,1.91,2.67
2020,2,Austral Tierra del Fuego,2.4,1.93,2.12,3.21
2020,2,Golfo de San Jorge,2.47,2.27,2.74,3.14
2020,2,Neuquina,2.66,2.3,2.64,3.25
2020,2,Noroeste,2.63,2.3,4.11,0.0
2020,2,Total Cuenca,2.6,2.16,2.59,3.18
2020,3,Austral Santa Cruz,2.45,1.54,2.12,2.64
2020,3,Austral Tierra del Fuego,2.33,1.79,1.9,3.22
2020,3,Golfo de San Jorge,2.41,2.31,2.76,3.14
2020,3,Neuquina,2.56,2.11,2.5,3.22
2020,3,Noroeste,2.54,2.27,4.03,0.0
2020,3,Total Cuenca,2.5,1.98,2.53,3.13
2020,4,Austral Santa Cruz,2.38,1.37,1.87,2.55
2020,4,Austral Tierra del Fuego,2.26,1.38,2.13,0.0
2020,4,Golfo de San Jorge,2.44,1.37,2.55,3.14
2020,4,Neuquina,2.46,1.23,2.02,3.13
2020,4,Noroeste,2.44,1.57,3.5,0.0
2020,4,Total Cuenca,2.42,1.29,2.16,3.08
2020,5,Austral Santa Cruz,2.23,1.6,2.24,2.49
2020,5,Austral Tierra del Fuego,2.15,1.61,1.62,0.0
2020,5,Golfo de San Jorge,2.26,2.0,2.58,0.0
2020,5,Neuquina,2.32,1.37,1.84,3.71
2020,5,Noroeste,2.34,1.96,2.31,0.0
2020,5,Total Cuenca,2.29,1.47,1.93,3.37
2020,6,Austral Santa Cruz,2.17,2.02,2.22,2.41
2020,6,Austral Tierra del Fuego,2.11,2.14,1.9,0.0
2020,6,Golfo de San Jorge,2.19,2.47,2.96,0.0
2020,6,Neuquina,2.27,2.42,2.18,4.17
2020,6,Noroeste,2.33,2.32,2.49,0.0
2020,6,Total Cuenca,2.24,2.33,2.21,3.2
2020,7,Austral Santa Cruz,2.11,2.11,2.23,0.0
2020,7,Austral Tierra del Fuego,2.06,2.14,1.91,0.0
2020,7,Golfo de San Jorge,2.13,2.0,3.39,0.0
2020,7,Neuquina,2.21,2.41,2.4,0.0
2020,7,Noroeste,2.3,2.28,2.5,0.0
2020,7,Total Cuenca,2.19,2.34,2.36,0.0
2020,8,Austral Santa Cruz,2.06,2.14,2.21,2.24
2020,8,Austral Tierra del Fuego,2.0,2.13,1.94,0.0
2020,8,Golfo de San Jorge,2.03,2.43,3.24,0.0
2020,8,Neuquina,2.14,2.5,2.42,4.87
2020,8,Noroeste,2.2,2.15,2.54,0.0
2020,8,Total Cuenca,2.12,2.41,2.37,4.18
2020,9,Austral Santa Cruz,2.01,1.99,2.02,2.18
2020,9,Austral Tierra del Fuego,1.93,2.06,1.8,0.0
2020,9,Golfo de San Jorge,2.01,2.32,2.66,0.0
2020,9,Neuquina,2.1,2.34,2.31,3.24
2020,9,Noroeste,2.14,2.3,2.39,0.0
2020,9,Total Cuenca,2.07,2.24,2.22,2.95
2020,10,Austral Santa Cruz,1.93,1.55,1.52,2.15
2020,10,Austral Tierra del Fuego,1.88,1.85,1.39,0.0
2020,10,Golfo de San Jorge,1.96,1.82,1.9,0.0
2020,10,Neuquina,2.02,1.82,1.77,3.04
2020,10,Noroeste,2.11,2.26,2.05,0.0
2020,10,Total Cuenca,2.0,1.81,1.71,2.86
2020,11,Austral Santa Cruz,1.87,1.57,1.61,2.24
2020,11,Austral Tierra del Fuego,1.82,1.82,1.37,2.6
2020,11,Golfo de San Jorge,1.82,2.11,1.89,0.0
2020,11,Neuquina,1.94,1.82,1.77,3.05
2020,11,Noroeste,2.04,2.28,2.03,0.0
2020,11,Total Cuenca,1.93,1.81,1.72,2.67
2020,12,Austral Santa Cruz,1.78,1.96,1.6,2.32
2020,12,Austral Tierra del Fuego,1.74,2.12,1.5,2.67
